2024-02-18 20:30:47 [    INFO] Connected devices UDIDs: ['emulator-5554'] (logger_init.py:22)
2024-02-18 20:32:06 [    INFO] Testing text view of "App Settings" button (test_sidebar.py:23)
2024-02-18 20:32:07 [    INFO] Text of the button is "App Settings" (test_sidebar.py:31)
2024-02-18 20:32:07 [    INFO] "Menu" button was clicked. (login_page.py:64)
2024-02-18 20:32:07 [    INFO] Testing text view of "Help" button (test_sidebar.py:23)
2024-02-18 20:32:07 [    INFO] Text of the button is "Help" (test_sidebar.py:31)
2024-02-18 20:32:07 [    INFO] "Menu" button was clicked. (login_page.py:64)
2024-02-18 20:32:07 [    INFO] Testing text view of "Report a Problem" button (test_sidebar.py:23)
2024-02-18 20:32:07 [    INFO] Text of the button is "Report a Problem" (test_sidebar.py:31)
2024-02-18 20:32:07 [    INFO] "Menu" button was clicked. (login_page.py:64)
2024-02-18 20:32:07 [    INFO] Testing text view of "Add Hub" button (test_sidebar.py:23)
2024-02-18 20:32:07 [    INFO] Text of the button is "Add Hub" (test_sidebar.py:31)
2024-02-18 20:32:07 [    INFO] "Menu" button was clicked. (login_page.py:64)
2024-02-18 20:32:07 [    INFO] Testing text view of "Terms of Service" button (test_sidebar.py:23)
2024-02-18 20:32:07 [    INFO] Text of the button is "Terms of Service" (test_sidebar.py:31)
2024-02-18 20:32:07 [    INFO] "Menu" button was clicked. (login_page.py:64)
2024-02-18 20:32:07 [    INFO] Testing text view of "v 2.35.2 (build #6333)" button (test_sidebar.py:23)
2024-02-18 20:32:07 [    INFO] Text of the button is "v 2.35.2 (build #6333)" (test_sidebar.py:31)
2024-02-18 20:32:07 [    INFO] "Menu" button was clicked. (login_page.py:64)
2024-02-18 20:32:07 [    INFO] Testing "App Settings" button (test_sidebar.py:44)
2024-02-18 20:32:08 [    INFO] The "App Settings" button is enabled (test_sidebar.py:49)
2024-02-18 20:32:08 [    INFO] The "App Settings" button was clicked (test_sidebar.py:52)
2024-02-18 20:32:09 [    INFO] The page title is "Settings" (test_sidebar.py:59)
2024-02-18 20:32:09 [    INFO] Back to Main menu (test_sidebar.py:62)
2024-02-18 20:32:10 [    INFO] "Menu" button was clicked. (login_page.py:64)
2024-02-18 20:32:10 [    INFO] Testing "Help" button (test_sidebar.py:44)
2024-02-18 20:32:11 [    INFO] The "Help" button is enabled (test_sidebar.py:49)
2024-02-18 20:32:13 [    INFO] The "Help" button was clicked (test_sidebar.py:52)
2024-02-18 20:32:13 [    INFO] The page title is "Installation Manuals" (test_sidebar.py:59)
2024-02-18 20:32:13 [    INFO] Back to Main menu (test_sidebar.py:62)
2024-02-18 20:32:14 [    INFO] "Menu" button was clicked. (login_page.py:64)
2024-02-18 20:32:14 [    INFO] Testing "Report a problem" button (test_sidebar.py:44)
2024-02-18 20:32:15 [    INFO] The "Report a problem" button is enabled (test_sidebar.py:49)
2024-02-18 20:32:16 [    INFO] The "Report a problem" button was clicked (test_sidebar.py:52)
2024-02-18 20:32:17 [    INFO] The page title is "Add Hub" (test_sidebar.py:59)
2024-02-18 20:32:17 [    INFO] Back to Main menu (test_sidebar.py:62)
2024-02-18 20:32:17 [    INFO] "Menu" button was clicked. (login_page.py:64)
2024-02-18 20:32:17 [    INFO] Testing "Add Hub" button (test_sidebar.py:44)
2024-02-18 20:32:18 [    INFO] The "Add Hub" button is enabled (test_sidebar.py:49)
2024-02-18 20:32:19 [    INFO] The "Add Hub" button was clicked (test_sidebar.py:52)
2024-02-18 20:32:20 [    INFO] The page title is "Report a Problem" (test_sidebar.py:59)
2024-02-18 20:32:20 [    INFO] Back to Main menu (test_sidebar.py:62)
